basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250616,900110,HK0000057197,이스트아시아홀딩스,KOSDAQ,55,-3,-5.17,59,59,54,27358015,1520283963,642650588,35345782340
20250616,900270,HK0000214814,헝셩그룹,KOSDAQ,237,-2,-.84,239,239,227,2781865,646934867,176282336,41778913632
20250616,900260,HK0000295359,로스웰,KOSDAQ,669,9,1.36,660,674,650,140576,93183099,36031288,24104931672
20250616,900290,HK0000307485,GRT,KOSDAQ,2930,-105,-3.46,3000,3025,2925,473278,1400532409,80850000,236890500000
20250616,900300,HK0000312568,오가닉티코스메틱,KOSDAQ,429,-16,-3.6,450,453,428,1044450,455572327,96002224,41184954096
20250616,900310,HK0000341732,컬러레이,KOSDAQ,783,-16,-2,795,809,773,37241,29472395,64041675,50144631525
20250616,900340,HK0000449303,윙입푸드,KOSDAQ,1267,-28,-2.16,1281,1295,1248,162507,204671138,50330928,63769285776
20250616,000020,KR7000020008,동화약품,KOSPI,6540,10,.15,6530,6700,6500,124479,815884635,27931470,182671813800
20250616,000040,KR7000040006,KR모터스,KOSPI,429,-12,-2.72,437,442,426,332337,142943615,60132868,25797000372
20250616,000050,KR7000050005,경방,KOSPI,8170,-80,-.97,8250,8270,7860,322854,2593918380,27415270,223982755900
20250616,000070,KR7000070003,삼양홀딩스,KOSPI,90800,4700,5.46,85900,90800,84800,107359,9542617400,8689762,789030389600
20250616,000075,KR7000071001,삼양홀딩스우,KOSPI,88800,4600,5.46,84500,88900,84500,1088,95176100,178567,15856749600
20250616,000080,KR7000080002,하이트진로,KOSPI,19880,-70,-.35,19910,19930,19660,118816,2353833305,70133611,1394256186680
20250616,000087,KR7000082008,하이트진로2우B,KOSPI,15800,0,0,15800,15900,15710,1082,17066230,1130138,17856180400
20250616,000100,KR7000100008,유한양행,KOSPI,106300,-200,-.19,106400,108300,105700,269720,28721345700,79968437,8500644853100
20250616,000105,KR7000101006,유한양행우,KOSPI,97000,200,.21,96400,98100,96100,3996,387852200,1180940,114551180000
