basDt,srtnCd,isinCd,itmsNm,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,stLstgCnt,mrktTotAmt
20260617,70100026,KR5701000261,한투글로벌넥스트웨이브1(A),1082,0,0,0,0,0,0,0,23788084,25738706888
20260617,70100027,KR5701000279,한투글로벌넥스트웨이브1(A-e),1083,0,0,0,0,0,0,0,1498487,1622861421
20260617,70100028,KR5701000287,한투글로벌넥스트웨이브2(A),1082,0,0,0,0,0,0,0,268807,290849174
20260617,70100029,KR5701000295,한투글로벌넥스트웨이브2(A-e),1083,0,0,0,0,0,0,0,23925541,25911360903
20260617,70100030,KR5701000303,한투한미핵심성장포커스1(A),1089,0,0,0,0,0,0,0,29375937,31990395393
20260617,70100031,KR5701000311,한투한미핵심성장포커스1(A-e),1090,0,0,0,0,0,0,0,30072154,32778647860
20260617,70100032,KR5701000329,한투한미핵심성장포커스2(A),1089,0,0,0,0,0,0,0,35209775,38343444975
20260617,70100033,KR5701000337,한투한미핵심성장포커스2(A-e),1122,0,0,0,0,0,0,0,24254045,27213038490
20260617,70100034,KR5701000345,한투한미넥스트혁신성장1(A),1073,0,0,0,0,0,0,0,22303495,23931650135
20260617,70100035,KR5701000352,한투한미넥스트혁신성장1(A-e),1074,0,0,0,0,0,0,0,33802314,36303685236
20260617,70100036,KR5701000360,한투한미넥스트혁신성장2(A),1073,0,0,0,0,0,0,0,21625450,23204107850
20260617,70100037,KR5701000378,한투한미넥스트혁신성장2(A-e),1074,0,0,0,0,0,0,0,33161954,35615938596
20260617,70100038,KR5701000386,한투AI혁신산업1(A-e),1009,0,0,0,0,0,0,0,35652944,35973820496
20260617,70100039,KR5701000394,한투AI혁신산업2(A),1008,0,0,0,0,0,0,0,20180691,20342136528
20260617,70100040,KR5701000402,한투AI혁신산업2(A-e),1009,0,0,0,0,0,0,0,34880363,35194286267
20260617,70100041,KR5701000410,한투AI혁신산업1(A),1008,0,0,0,0,0,0,0,18985331,19137213648
20260617,70101B95,KR570101B954,밀라노부동산,300,10,3.45,0,0,0,0,0,53532869,16059860700
20260617,70101B96,KR570101B962,벨기에코어오피스2호,464,0,0,0,0,0,0,0,90387607,41939849648
20260617,70101B9A,KR570101B9A2,한국투자뉴욕오피스1호,100,-20,-16.67,119,119,100,11,1119,126300000,12630000000
20260617,70102B96,KR570102B960,룩셈부르크코어오피스(파생형)(A),1100,0,0,0,0,0,0,0,78856510,86742161000
20260617,70103B96,KR570103B968,룩셈부르크코어오피스(파생형)(C-I),994,0,0,0,0,0,0,0,16000000,15904000000
20260617,70900001,KR5709000016,대신하이일드공모주알파증권2호 A,1010,0,0,0,0,0,0,0,6716038,6783198380
20260617,70900002,KR5709000024,대신하이일드공모주알파증권2호 A-e,1004,0,0,0,0,0,0,0,7847577,7878967308
20260617,71201B98,KR571201B985,키움히어로즈유럽오피스부동산1호 A,399,0,0,0,0,0,0,0,16355918,6526011282
20260617,71202B98,KR571202B983,키움히어로즈유럽오피스부동산1호 C-I,929,0,0,0,0,0,0,0,644082,598352178
20260617,71203B98,KR571203B981,키움히어로즈유럽오피스부동산2호 A,980,0,0,0,0,0,0,0,15529644,15219051120
20260617,71204B98,KR571204B989,키움히어로즈유럽오피스부동산2호 C-I,929,0,0,0,0,0,0,0,1470356,1365960724
20260617,71205B98,KR571205B986,키움히어로즈유럽오피스부동산3호 A,260,0,0,0,0,0,0,0,14272637,3710885620
20260617,71206B98,KR571206B984,키움히어로즈유럽오피스부동산3호 C-I,929,0,0,0,0,0,0,0,2727363,2533720227
20260617,71207B98,KR571207B982,키움히어로즈유럽오피스부동산4호 A,1050,0,0,0,0,0,0,0,1400000,1470000000
20260617,71208B98,KR571208B980,키움히어로즈유럽오피스부동산4호 C-I,929,0,0,0,0,0,0,0,15600000,14492400000
20260617,73400008,KR5734000080,코레이트하이일드공모주만기형3호 A,1012,0,0,0,0,0,0,0,6707382,6787870584
20260617,73400009,KR5734000098,코레이트하이일드공모주만기형3호 A2,1014,0,0,0,0,0,0,0,9177718,9306206052
20260617,73400010,KR5734000106,코레이트하이일드공모주만기형3호 Ae,1012,0,0,0,0,0,0,0,2599391,2630583692
20260617,73400011,KR5734000114,코레이트하이일드공모주만기형4호 A,1010,0,0,0,0,0,0,0,13008896,13138984960
20260617,73400012,KR5734000122,코레이트하이일드공모주만기형4호 Ae,1010,0,0,0,0,0,0,0,3550103,3585604030
20260617,74201773,KR5742017738,하나대체나사부동산1호,113,8,7.62,113,113,113,1,113,136688658,15445818354
20260617,74201BAA,KR574201BAA6,하나대체미국부동산1호 A,700,0,0,0,0,0,0,0,21241331,14868931700
20260617,74202BAA,KR574202BAA4,하나대체미국부동산1호 C-I,920,0,0,0,0,0,0,0,19758669,18177975480
20260617,74401777,KR5744017777,맵스미국11호,240,11,4.8,239,240,239,3,718,135305764,32473383360
20260617,74401BAA,KR574401BAA2,맵스미국16호 종류A,349,-1,-.29,350,350,306,18680,5726253,74430266,25976162834
20260617,74601669,KR5746016694,KCGI베트남증권투자신탁,1358,-7,-.51,1364,1364,1313,19213,26070249,53086337,72091245646
20260617,74701776,KR5747017766,이지스코어부동산126호 A,9000,0,0,0,0,0,0,0,61133729,550203561000
20260617,74701B97,KR574701B973,이지스글로벌281호 Class A,371,0,0,0,0,0,0,0,230574068,85542979228
20260617,74701B9A,KR574701B9A8,이지스299호A,1015,0,0,0,0,0,0,0,21670028,21995078420
20260617,74702776,KR5747027765,이지스코어부동산126호 C-i,1005,0,0,0,0,0,0,0,402701,404714505
20260617,75601BA2,KR575601BA20,유경공모부동산3호ClassA,25,0,0,0,0,0,0,0,38319438,957985950
20260617,75602BA2,KR575602BA29,유경공모부동산3호ClassC-I,1015,0,0,0,0,0,0,0,67679890,68695088350
20260617,75701BA7,KR575701BA78,현대유퍼스트부동산30호[파생형] A,598,0,0,0,0,0,0,0,28809945,17228347110
20260617,75702BA7,KR575702BA77,현대유퍼스트부동산30호[파생형] C-i,965,0,0,0,0,0,0,0,23488200,22666113000
20260617,76201BC5,KR576201BC53,이탈리아물류1호 종류A,870,0,0,0,0,0,0,0,66985800,58277646000
20260617,77200017,KR5772000174,한국밸류라이프V파워1(A),1099,0,0,0,0,0,0,0,26098184,28681904216
20260617,77200018,KR5772000182,한국밸류라이프V파워1(A-e),1100,0,0,0,0,0,0,0,24055627,26461189700
20260617,77200019,KR5772000190,한국밸류라이프V파워1(C-F),1101,0,0,0,0,0,0,0,200000,220200000
20260617,77200020,KR5772000208,한국밸류라이프V파워2(A),1098,0,0,0,0,0,0,0,24298944,26680240512
20260617,77200021,KR5772000216,한국밸류라이프V파워2(A-e),1099,0,0,0,0,0,0,0,25958965,28528902535
20260617,77200022,KR5772000224,한국밸류라이프V파워2(C-F),1100,0,0,0,0,0,0,0,200000,220000000
20260617,77200023,KR5772000232,한국밸류코리아기업가치포커스1호A,1201,0,0,0,0,0,0,0,41545805,49896511805
20260617,77200024,KR5772000240,한국밸류코리아기업가치포커스1호C-F,1203,0,0,0,0,0,0,0,200000,240600000
20260617,77200025,KR5772000257,한국밸류코리아기업가치포커스2호A,1200,0,0,0,0,0,0,0,35368037,42441644400
20260617,77200026,KR5772000265,한국밸류코리아기업가치포커스1호A-e,1202,0,0,0,0,0,0,0,38168590,45878645180
20260617,77200027,KR5772000273,한국밸류코리아기업가치포커스2호C-F,1202,0,0,0,0,0,0,0,200000,240400000
20260617,77200028,KR5772000281,한국밸류코리아기업가치포커스2호A-e,1201,0,0,0,0,0,0,0,44645539,53619292339
20260617,77200029,KR5772000299,한국밸류 K-파워2 1호(A),1163,0,0,0,0,0,0,0,20315512,23626940456
20260617,77200030,KR5772000307,한국밸류 K-파워2 1호(A-e),1164,0,0,0,0,0,0,0,35233655,41011974420
20260617,77200031,KR5772000315,한국밸류 K-파워2 2호(C-F),1166,0,0,0,0,0,0,0,200000,233200000
20260617,77200032,KR5772000323,한국밸류 K-파워2 2호(A-e),1165,0,0,0,0,0,0,0,36576595,42611733175
20260617,77200033,KR5772000331,한국밸류 K-파워2 2호(A),1164,0,0,0,0,0,0,0,18565056,21609725184
20260617,77200034,KR5772000349,한국밸류 K-파워2 1호(C-F),1165,0,0,0,0,0,0,0,200000,233000000
20260616,70100026,KR5701000261,한투글로벌넥스트웨이브1(A),1082,0,0,0,0,0,0,0,23788084,25738706888
20260616,70100027,KR5701000279,한투글로벌넥스트웨이브1(A-e),1083,0,0,0,0,0,0,0,1498487,1622861421
20260616,70100028,KR5701000287,한투글로벌넥스트웨이브2(A),1082,0,0,0,0,0,0,0,268807,290849174
20260616,70100029,KR5701000295,한투글로벌넥스트웨이브2(A-e),1083,0,0,0,0,0,0,0,23925541,25911360903
20260616,70100030,KR5701000303,한투한미핵심성장포커스1(A),1089,0,0,0,0,0,0,0,29375937,31990395393
20260616,70100031,KR5701000311,한투한미핵심성장포커스1(A-e),1090,0,0,0,0,0,0,0,30072154,32778647860
20260616,70100032,KR5701000329,한투한미핵심성장포커스2(A),1089,0,0,0,0,0,0,0,35209775,38343444975
20260616,70100033,KR5701000337,한투한미핵심성장포커스2(A-e),1122,0,0,0,0,0,0,0,24254045,27213038490
20260616,70100034,KR5701000345,한투한미넥스트혁신성장1(A),1073,0,0,0,0,0,0,0,22303495,23931650135
20260616,70100035,KR5701000352,한투한미넥스트혁신성장1(A-e),1074,0,0,0,0,0,0,0,33802314,36303685236
20260616,70100036,KR5701000360,한투한미넥스트혁신성장2(A),1073,0,0,0,0,0,0,0,21625450,23204107850
20260616,70100037,KR5701000378,한투한미넥스트혁신성장2(A-e),1074,0,0,0,0,0,0,0,33161954,35615938596
20260616,70100038,KR5701000386,한투AI혁신산업1(A-e),1009,0,0,0,0,0,0,0,35652944,35973820496
20260616,70100039,KR5701000394,한투AI혁신산업2(A),1008,0,0,0,0,0,0,0,20180691,20342136528
20260616,70100040,KR5701000402,한투AI혁신산업2(A-e),1009,0,0,0,0,0,0,0,34880363,35194286267
20260616,70100041,KR5701000410,한투AI혁신산업1(A),1008,0,0,0,0,0,0,0,18985331,19137213648
20260616,70101B95,KR570101B954,밀라노부동산,290,0,0,0,0,0,0,0,53532869,15524532010
20260616,70101B96,KR570101B962,벨기에코어오피스2호,464,0,0,0,0,0,0,0,90387607,41939849648
20260616,70101B9A,KR570101B9A2,한국투자뉴욕오피스1호,120,0,0,0,0,0,0,0,126300000,15156000000
20260616,70102B96,KR570102B960,룩셈부르크코어오피스(파생형)(A),1100,0,0,0,0,0,0,0,78856510,86742161000
20260616,70103B96,KR570103B968,룩셈부르크코어오피스(파생형)(C-I),994,0,0,0,0,0,0,0,16000000,15904000000
20260616,70900001,KR5709000016,대신하이일드공모주알파증권2호 A,1010,0,0,0,0,0,0,0,6716038,6783198380
20260616,70900002,KR5709000024,대신하이일드공모주알파증권2호 A-e,1004,0,0,0,0,0,0,0,7847577,7878967308
20260616,71201B98,KR571201B985,키움히어로즈유럽오피스부동산1호 A,399,0,0,0,0,0,0,0,16355918,6526011282
20260616,71202B98,KR571202B983,키움히어로즈유럽오피스부동산1호 C-I,929,0,0,0,0,0,0,0,644082,598352178
20260616,71203B98,KR571203B981,키움히어로즈유럽오피스부동산2호 A,980,0,0,0,0,0,0,0,15529644,15219051120
20260616,71204B98,KR571204B989,키움히어로즈유럽오피스부동산2호 C-I,929,0,0,0,0,0,0,0,1470356,1365960724
20260616,71205B98,KR571205B986,키움히어로즈유럽오피스부동산3호 A,260,0,0,0,0,0,0,0,14272637,3710885620
20260616,71206B98,KR571206B984,키움히어로즈유럽오피스부동산3호 C-I,929,0,0,0,0,0,0,0,2727363,2533720227
20260616,71207B98,KR571207B982,키움히어로즈유럽오피스부동산4호 A,1050,0,0,0,0,0,0,0,1400000,1470000000
20260616,71208B98,KR571208B980,키움히어로즈유럽오피스부동산4호 C-I,929,0,0,0,0,0,0,0,15600000,14492400000
