basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20260617,005930,KR7005930003,삼성전자,KOSPI,346500,3500,1.02,332000,348000,331500,18134051,6145208668000,5846278608,2025735537672000
20260617,005935,KR7005931001,삼성전자우,KOSPI,226500,2500,1.12,216500,226500,216000,2926145,647531209750,802371203,181737077479500
20260616,005930,KR7005930003,삼성전자,KOSPI,343000,6000,1.78,343000,345500,332500,17548685,5970562049352,5846278608,2005273562544000
20260616,005935,KR7005931001,삼성전자우,KOSPI,224000,8000,3.7,220000,224500,216000,3341287,739325628500,802371203,179731149472000
20260615,005930,KR7005930003,삼성전자,KOSPI,337000,14500,4.5,342500,344500,334000,21500067,7267809113959,5846278608,1970195890896000
20260615,005935,KR7005931001,삼성전자우,KOSPI,216000,9000,4.35,220000,220000,213500,3081386,668105459464,802371203,173312179848000
20260612,005930,KR7005930003,삼성전자,KOSPI,322500,23500,7.86,326000,339000,320000,31006148,10243164332536,5846278608,1885424851080000
20260612,005935,KR7005931001,삼성전자우,KOSPI,207000,13500,6.98,206000,215000,203000,4673070,982930557000,802371203,166090839021000
20260611,005930,KR7005930003,삼성전자,KOSPI,299000,-3500,-1.16,290500,306500,287500,31420307,9359984196250,5846278608,1748037303792000
20260611,005935,KR7005931001,삼성전자우,KOSPI,193500,2000,1.04,183900,195400,183000,4008103,766010116066,802371203,155258827780500
20260610,005930,KR7005930003,삼성전자,KOSPI,302500,-19500,-6.06,311000,314500,295250,27050362,8222479219022,5846278608,1768499278920000
20260610,005935,KR7005931001,삼성전자우,KOSPI,191500,-12000,-5.9,198500,199700,187200,4620983,891517479250,802371203,153654085374500
20260609,005930,KR7005930003,삼성전자,KOSPI,322000,26500,8.97,310000,324000,300000,30124249,9419668803569,5846278608,1882501711776000
20260609,005935,KR7005931001,삼성전자우,KOSPI,203500,11000,5.71,205000,207000,195200,5316432,1071098648950,802371203,163282539810500
20260608,005930,KR7005930003,삼성전자,KOSPI,295500,-33500,-10.18,293000,315500,292500,38929682,11802483835807,5846278608,1727575328664000
20260608,005935,KR7005931001,삼성전자우,KOSPI,192500,-18500,-8.77,181000,205000,180900,4790088,938215103183,802371203,154456456577500
20260605,005930,KR7005930003,삼성전자,KOSPI,329000,-22500,-6.4,333500,343000,325000,33725012,11191087320641,5846278608,1923425662032000
20260605,005935,KR7005931001,삼성전자우,KOSPI,211000,-9000,-4.09,206500,217500,205500,5962640,1251818530500,802371203,169300323833000
20260604,005930,KR7005930003,삼성전자,KOSPI,351500,-9000,-2.5,349000,366000,348000,34771037,12341958993806,5846278608,2054966930712000
20260604,005935,KR7005931001,삼성전자우,KOSPI,220000,-11500,-4.97,221000,230000,220000,7588895,1694988901318,802371203,176521664660000
20260602,005930,KR7005930003,삼성전자,KOSPI,360500,11500,3.3,360500,370000,342000,44720282,15945279373744,5846278608,2107583438184000
20260602,005935,KR7005931001,삼성전자우,KOSPI,231500,2500,1.09,231500,243500,223500,9328789,2151492851000,802371203,185748933494500
20260601,005930,KR7005930003,삼성전자,KOSPI,349000,32000,10.09,319500,354500,319500,45052488,15359749127061,5846278608,2040351234192000
20260601,005935,KR7005931001,삼성전자우,KOSPI,229000,26500,13.09,203500,235500,203000,14857537,3337824316902,802371203,183743005487000
20260529,005930,KR7005930003,삼성전자,KOSPI,317000,17500,5.84,309500,319000,305500,37241537,11699639541368,5846278608,1853270318736000
20260529,005935,KR7005931001,삼성전자우,KOSPI,202500,11600,6.08,197800,207500,195500,9498746,1914598307900,802371203,162480168607500
20260528,005930,KR7005930003,삼성전자,KOSPI,299500,-7500,-2.44,305000,306500,287500,30195334,9008512632780,5846278608,1750960443096000
20260528,005935,KR7005931001,삼성전자우,KOSPI,190900,-1100,-.57,193000,195500,182700,5695041,1084788753000,802371203,153172662652700
20260527,005930,KR7005930003,삼성전자,KOSPI,307000,8000,2.68,321500,323000,306000,33916688,10730431777324,5846278608,1794807532656000
20260527,005935,KR7005931001,삼성전자우,KOSPI,192000,4800,2.56,196400,199700,192000,6741132,1321979010520,802371203,154055270976000
20260526,005930,KR7005930003,삼성전자,KOSPI,299000,6500,2.22,298000,302000,297500,23441371,7028907724698,5846278608,1748037303792000
20260526,005935,KR7005931001,삼성전자우,KOSPI,187200,-300,-.16,190000,192000,186500,4040549,762592313050,802371203,150203889201600
20260522,005930,KR7005930003,삼성전자,KOSPI,292500,-7000,-2.34,300000,300500,292000,18395274,5415999876319,5846278608,1710036492840000
20260522,005935,KR7005931001,삼성전자우,KOSPI,187500,-300,-.16,189300,189700,184700,3092987,577602202350,802371203,150444600562500
20260521,005930,KR7005930003,삼성전자,KOSPI,299500,23500,8.51,291000,299500,287000,36168689,10669803962580,5846278608,1750960443096000
20260521,005935,KR7005931001,삼성전자우,KOSPI,187800,10000,5.62,185000,188800,183900,5314354,989185799500,802371203,150685311923400
20260520,005930,KR7005930003,삼성전자,KOSPI,276000,500,.18,278000,282500,263500,35662077,9744232201916,5846278608,1613572895808000
20260520,005935,KR7005931001,삼성전자우,KOSPI,177800,-3000,-1.66,179100,183400,171000,5594889,991448853450,802371203,142661599893400
20260519,005930,KR7005930003,삼성전자,KOSPI,275500,-5500,-1.96,274000,281500,266000,30767569,8425000673138,5846278608,1610649756504000
20260519,005935,KR7005931001,삼성전자우,KOSPI,180800,-4300,-2.32,177800,183600,174600,4185947,748165905943,802371203,145068713502400
20260518,005930,KR7005930003,삼성전자,KOSPI,281000,10500,3.88,269500,288500,262000,33555214,9319457366471,5846278608,1642804288848000
20260518,005935,KR7005931001,삼성전자우,KOSPI,185100,5700,3.18,177000,188000,171000,5119376,927817018416,802371203,148518909675300
20260515,005930,KR7005930003,삼성전자,KOSPI,270500,-25500,-8.61,291000,296500,266000,38075487,10667342314779,5846278608,1581418363464000
20260515,005935,KR7005931001,삼성전자우,KOSPI,179400,-14300,-7.38,190200,193700,175500,4981609,919644048600,802371203,143945393818200
20260514,005930,KR7005930003,삼성전자,KOSPI,296000,12000,4.23,282000,299500,282000,39314752,11532240252620,5846278608,1730498467968000
20260514,005935,KR7005931001,삼성전자우,KOSPI,193700,4600,2.43,189100,199000,188600,5225227,1015480282150,802371203,155419302021100
20260513,005930,KR7005930003,삼성전자,KOSPI,284000,5000,1.79,264000,285500,262000,35540134,9797838529400,5846278608,1660343124672000
20260513,005935,KR7005931001,삼성전자우,KOSPI,189100,2100,1.12,174200,190500,174100,6052510,1103893388000,802371203,151728394487300
20260512,005930,KR7005930003,삼성전자,KOSPI,279000,-6500,-2.28,290000,291500,266000,41211149,11516481508515,5846278608,1631111731632000
20260512,005935,KR7005931001,삼성전자우,KOSPI,187000,-7900,-4.05,194900,197000,180200,8015932,1517358236170,802371203,150043414961000
20260511,005930,KR7005930003,삼성전자,KOSPI,285500,17000,6.33,284500,288500,280000,36031094,10278092379571,5846278608,1669112542584000
20260511,005935,KR7005931001,삼성전자우,KOSPI,194900,12200,6.68,193600,197900,190100,6586322,1281788839232,802371203,156382147464700
20260508,005930,KR7005930003,삼성전자,KOSPI,268500,-3000,-1.1,260000,270000,260000,25875880,6856898737478,5846278608,1569725806248000
20260508,005935,KR7005931001,삼성전자우,KOSPI,182700,-2700,-1.46,176000,183700,176000,5449257,977214055438,802371203,146593218788100
20260507,005930,KR7005930003,삼성전자,KOSPI,271500,5500,2.07,272000,277000,260000,41404687,11101719159250,5846278608,1587264642072000
20260507,005935,KR7005931001,삼성전자우,KOSPI,185400,-3900,-2.06,189600,194700,170700,9583652,1771842014950,802371203,148759621036200
20260506,005930,KR7005930003,삼성전자,KOSPI,266000,33500,14.41,254000,270000,251000,53097996,13873583841584,5846278608,1555110109728000
20260506,005935,KR7005931001,삼성전자우,KOSPI,189300,19700,11.62,175600,191900,175600,11334882,2081415337010,802371203,151888868727900
20260504,005930,KR7005930003,삼성전자,KOSPI,232500,12000,5.44,228000,232500,224000,32920816,7534835308220,5846278608,1359259776360000
20260504,005935,KR7005931001,삼성전자우,KOSPI,169600,11300,7.14,163000,169800,162100,4403269,729745381350,802371203,136082156028800
